"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";
"C1";"10uF";"865080440002";"CAPAE400X550N";"Wurth Elektronik 10uF 25 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 4 (Dia.) x 5.35mm";"Wurth Elektronik 10uF 25 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 4 (Dia.) x 5.35mm";"5.5mm";"Wurth Elektronik";"865080440002";"710-865080440002";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080440002?qs=0KOYDY2FL2%2FXvxJ7qSnXzw%3D%3D";
"C2";"10uF";"865080440002";"CAPAE400X550N";"Wurth Elektronik 10uF 25 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 4 (Dia.) x 5.35mm";"Wurth Elektronik 10uF 25 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 4 (Dia.) x 5.35mm";"5.5mm";"Wurth Elektronik";"865080440002";"710-865080440002";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080440002?qs=0KOYDY2FL2%2FXvxJ7qSnXzw%3D%3D";
"C3";"4.3p";"GRM0335C1E4R3WA01D";"CAPC0603X33N";"Chip Capacitor value 4R3";"Chip Capacitor value 4R3";"0.33mm";"Murata Electronics";"GRM0335C1E4R3WA01D";"";"";
"C4";"4.3p";"GRM0335C1E4R3WA01D";"CAPC0603X33N";"Chip Capacitor value 4R3";"Chip Capacitor value 4R3";"0.33mm";"Murata Electronics";"GRM0335C1E4R3WA01D";"";"";
"C5";"100n";"EMF105B7104MVHF";"CAPC1005X55N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 16V 0.1uF 20% AEC-Q200";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 16V 0.1uF 20% AEC-Q200";"0.55mm";"TAIYO YUDEN";"EMF105B7104MVHF";"963-EMF105B7104MVHF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMF105B7104MVHF?qs=%252B6g0mu59x7LtSdgNoaFAbQ%3D%3D";
"C6";"100n";"EMF105B7104MVHF";"CAPC1005X55N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 16V 0.1uF 20% AEC-Q200";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 16V 0.1uF 20% AEC-Q200";"0.55mm";"TAIYO YUDEN";"EMF105B7104MVHF";"963-EMF105B7104MVHF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMF105B7104MVHF?qs=%252B6g0mu59x7LtSdgNoaFAbQ%3D%3D";
"C7";"1u";"EMK105BJ105MVHF";"CAPC1005X55N";"TAIYO YUDEN - EMK105BJ105MVHF - CAPACITOR, MLCC, 0402, 16V ,X5R,Q200 02AH5330";"TAIYO YUDEN - EMK105BJ105MVHF - CAPACITOR, MLCC, 0402, 16V ,X5R,Q200 02AH5330";"0.55mm";"TAIYO YUDEN";"EMK105BJ105MVHF";"963-EMK105BJ105MVHF";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMK105BJ105MVHF?qs=sBf%2Fb4nBSle1MydEN1pxPw%3D%3D";
"IC1";"ATSAMD21E17D-AU";"ATSAMD21E17D-AU";"QFP80P900X900X120-32N";"ARM Microcontrollers - MCU 32TQFP IND TEMP, GREEN,1.6-3.6V,48MHz";"ARM Microcontrollers - MCU 32TQFP IND TEMP, GREEN,1.6-3.6V,48MHz";"1.2mm";"Microchip";"ATSAMD21E17D-AU";"556-ATSAMD21E17D-AU";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/ATSAMD21E17D-AU?qs=byeeYqUIh0MuAM%252BW362haw%3D%3D";
"IC2";"NCP1117LPST33T3G";"NCP1117LPST33T3G";"SOT230P700X180-4N";"Source:  Datasheet";"";"1.8mm";"ON Semiconductor";"NCP1117LPST33T3G";"863-NCP1117LPST33T3G";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/NCP1117LPST33T3G?qs=kbSN2QblFfKG9A4Foh4YYg%3D%3D";
"J1";"629104190121";"629104190121";"629104190121";"WURTH ELEKTRONIK - 629104190121 - CONN, USB 2 TYPE A, RCPT, 4POS, SMT";"WURTH ELEKTRONIK - 629104190121 - CONN, USB 2 TYPE A, RCPT, 4POS, SMT";"mm";"Wurth Elektronik";"629104190121";"710-629104190121";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/629104190121?qs=lBTPRtX1sU8FkkdswgHZbg%3D%3D";
"J2";"KUSBX-SMT2AP5S-B";"KUSBX-SMT2AP5S-B";"KUSBXSMT2AP5SB";"USB Connectors A TYPE SMT BLK PLUG 1.35mm POSTS SHIELD";"USB Connectors A TYPE SMT BLK PLUG 1.35mm POSTS SHIELD";"4.75mm";"Kycon";"KUSBX-SMT2AP5S-B";"806-KUSBXSMT2AP5SB";"https://www.mouser.co.uk/ProductDetail/Kycon/KUSBX-SMT2AP5S-B?qs=7zcQ9RRVJlhCJlshlB7IBQ%3D%3D";
